"priority","unit","image_name","asset_path","finding"
"replace","basic-emotions","happy.avif","/word-images/basic-emotions/happy.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","joyful.avif","/word-images/basic-emotions/joyful.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","excited.avif","/word-images/basic-emotions/excited.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","proud.avif","/word-images/basic-emotions/proud.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","grateful.avif","/word-images/basic-emotions/grateful.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","content.avif","/word-images/basic-emotions/content.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","amused.avif","/word-images/basic-emotions/amused.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","delighted.avif","/word-images/basic-emotions/delighted.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","cheerful.avif","/word-images/basic-emotions/cheerful.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","hopeful.avif","/word-images/basic-emotions/hopeful.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","sad.avif","/word-images/basic-emotions/sad.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","angry.avif","/word-images/basic-emotions/angry.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","scared.avif","/word-images/basic-emotions/scared.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","worried.avif","/word-images/basic-emotions/worried.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","frustrated.avif","/word-images/basic-emotions/frustrated.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","disappointed.avif","/word-images/basic-emotions/disappointed.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","upset.avif","/word-images/basic-emotions/upset.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","annoyed.avif","/word-images/basic-emotions/annoyed.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","bored.avif","/word-images/basic-emotions/bored.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","lonely.avif","/word-images/basic-emotions/lonely.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","calm.avif","/word-images/basic-emotions/calm.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","tired.avif","/word-images/basic-emotions/tired.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","surprised.avif","/word-images/basic-emotions/surprised.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","confused.avif","/word-images/basic-emotions/confused.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","curious.avif","/word-images/basic-emotions/curious.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","thoughtful.avif","/word-images/basic-emotions/thoughtful.avif","cartoon or illustration; not photorealistic"
"replace","basic-emotions","relaxed.avif","/word-images/basic-emotions/relaxed.avif","cartoon or illustration; not photorealistic"
